first_name,last_name,email,gender,ip_address,Credit_Card_Type,item_watched,item_bought,country,city,phone,facebook_username
Yancey,Neachell,yneachell0@google.com.hk,Male,156.80.213.196,bankcard,Sports,Automotive,Malaysia,Pekan,654-315-1312,yneachell0
Jsandye,Dallon,jdallon1@kickstarter.com,Female,137.159.45.148,china-unionpay,Baby,Industrial,Greece,Neochórion,518-411-7152,jdallon1
Ingelbert,Cyseley,icyseley2@csmonitor.com,Male,205.95.160.172,jcb,Beauty,Kids,China,Changchun,859-521-8916,icyseley2
Eleanora,Frugier,efrugier3@hibu.com,Female,248.94.2.167,jcb,Home,Sports,China,Qiaodong,814-188-7816,efrugier3
Opaline,Pache,opache4@engadget.com,Female,173.160.141.41,jcb,Garden,Computers,France,Marseille,802-758-6334,opache4
Brigham,Standidge,bstandidge5@google.cn,Male,11.177.192.143,jcb,Kids,Games,Mongolia,Arvayheer,604-338-4231,bstandidge5
Timotheus,Wickins,twickins6@nyu.edu,Male,27.202.176.152,jcb,Books,Clothing,Philippines,Aramayuan,690-236-5028,twickins6
Wilbert,Martinelli,wmartinelli7@jiathis.com,Male,93.35.229.7,switch,Electronics,Music,Mexico,La Soledad,925-442-0672,wmartinelli7
Lesley,Szymon,lszymon8@patch.com,Male,250.74.145.178,jcb,Industrial,Automotive,China,Haiyan,206-888-1275,lszymon8
Clara,Keyho,ckeyho9@sciencedirect.com,Female,172.119.107.231,jcb,Home,Baby,Indonesia,Loakulu,682-474-7344,ckeyho9
Tom,Froud,tfrouda@dell.com,Male,196.171.112.8,jcb,Kids,Jewelery,Tanzania,Magomeni,214-205-7003,tfrouda
Muhammad,Scarsbrooke,mscarsbrookeb@google.es,Male,47.82.139.221,laser,Beauty,Music,Indonesia,Cileles,104-504-5389,mscarsbrookeb
Jenelle,MacNab,jmacnabc@printfriendly.com,Female,183.127.7.64,americanexpress,Games,Movies,Mexico,Morelos,221-724-7318,jmacnabc
Egbert,Brownell,ebrownelld@sciencedaily.com,Male,155.171.114.221,jcb,Baby,Automotive,Thailand,Betong,654-607-9000,ebrownelld
Thedrick,Chesters,tchesterse@mapy.cz,Male,208.206.89.247,jcb,Games,Clothing,Albania,Fushëkuqe,243-985-4170,tchesterse
Meg,Stawell,mstawellf@com.com,Female,180.63.184.36,jcb,Baby,Health,Brazil,Tamandaré,197-796-1898,mstawellf
Dirk,Greber,dgreberg@statcounter.com,Male,245.107.10.122,mastercard,Electronics,Shoes,Philippines,San Juan,403-841-5095,dgreberg
Ermina,Jervois,ejervoish@cafepress.com,Female,240.166.81.139,laser,Jewelery,Electronics,Brazil,Franco da Rocha,922-582-1101,ejervoish
Dulcie,Braniff,dbraniffi@google.es,Female,183.34.34.61,mastercard,Jewelery,Automotive,China,Lesuhe,953-844-5641,dbraniffi
Junette,Veldman,jveldmanj@cbsnews.com,Female,243.29.78.211,maestro,Baby,Electronics,China,Tonggu,917-259-8938,jveldmanj
Kellen,Sanbroke,ksanbrokek@pinterest.com,Male,179.195.226.157,maestro,Baby,Sports,Colombia,Piedrancha,126-538-1139,ksanbrokek
Eolande,McAndrew,emcandrewl@flickr.com,Female,112.56.250.18,jcb,Jewelery,Toys,Peru,Cocabamba,351-664-1467,emcandrewl
Ardis,Spatari,aspatarim@ifeng.com,Female,129.129.54.54,jcb,Baby,Tools,Indonesia,Noenoni,497-946-0769,aspatarim
Iormina,Dradey,idradeyn@example.com,Female,18.133.86.1,switch,Grocery,Automotive,China,Yonghe,625-338-3269,idradeyn
Gino,Culshaw,gculshawo@pen.io,Male,50.42.154.36,jcb,Computers,Grocery,Brazil,Nova Viçosa,908-146-3869,gculshawo
Laney,Meadowcroft,lmeadowcroftp@merriam-webster.com,Female,230.86.46.157,mastercard,Toys,Shoes,United Kingdom,Twyford,162-172-0149,lmeadowcroftp
Pieter,MacSwayde,pmacswaydeq@mail.ru,Male,200.222.216.220,bankcard,Shoes,Beauty,Ethiopia,Robīt,832-873-6888,pmacswaydeq
Hailey,Tiffney,htiffneyr@qq.com,Male,200.82.121.251,jcb,Sports,Health,China,Chakou,327-364-4821,htiffneyr
