first_name,last_name,email,gender,ip_address,Credit_Card_Type,item_watched,item_bought,country,city,phone,facebook_username
Mikol,Jamson,mjamson0@vimeo.com,Male,9.57.176.224,visa-electron,Jewelery,Movies,Iran,Kīsh,896-588-5926,mjamson0
Torrance,Skrzynski,tskrzynski1@bbc.co.uk,Male,59.140.100.50,diners-club-carte-blanche,Jewelery,Tools,United States,El Paso,915-591-8888,tskrzynski1
Zachary,Fermoy,zfermoy2@reference.com,Male,87.162.194.77,jcb,Garden,Games,Vietnam,Tân Kỳ,864-804-9186,zfermoy2
Alfy,Chasles,achasles3@spotify.com,Male,110.132.217.187,solo,Baby,Home,Kazakhstan,Qalqaman,197-596-0754,achasles3
Sandy,Schild,sschild4@paginegialle.it,Male,35.167.150.199,jcb,Baby,Games,China,Nan’an,261-899-9986,sschild4
Nicholas,Verne,nverne5@un.org,Male,248.226.125.12,bankcard,Baby,Shoes,United States,Austin,512-680-4368,nverne5
Lonee,Jaqueme,ljaqueme6@newyorker.com,Female,50.95.226.22,bankcard,Automotive,Garden,Indonesia,Bajo,410-867-1703,ljaqueme6
Kathie,Brose,kbrose7@google.ru,Female,103.187.186.68,jcb,Grocery,Garden,Philippines,Tungao,707-122-7857,kbrose7
Verene,Wychard,vwychard8@foxnews.com,Female,5.111.188.7,jcb,Baby,Kids,China,Jiulongshan,448-959-9869,vwychard8
Lew,Heball,lheball9@w3.org,Male,67.29.15.188,jcb,Toys,Music,Indonesia,Jongorsari,177-103-2783,lheball9
Alexander,Steabler,asteablera@whitehouse.gov,Male,216.181.193.7,jcb,Toys,Tools,China,Anping,713-584-0294,asteablera
Kenny,Buessen,kbuessenb@dyndns.org,Male,227.190.10.50,jcb,Health,Beauty,Moldova,Rîşcani,272-207-0857,kbuessenb
Marcelia,Hainge,mhaingec@myspace.com,Female,169.240.239.160,jcb,Shoes,Clothing,Palestinian Territory,Birqīn,807-463-7022,mhaingec
Aldridge,Callf,acallfd@barnesandnoble.com,Male,165.185.213.138,jcb,Tools,Movies,Belarus,Slutsk,193-962-8065,acallfd
Shelagh,Penchen,spenchene@topsy.com,Female,252.104.245.185,visa-electron,Kids,Garden,Albania,Korçë,728-231-5463,spenchene
Web,Causon,wcausonf@tumblr.com,Male,181.76.31.71,jcb,Books,Health,Iran,Bandar-e Torkaman,938-418-8141,wcausonf
Gunar,Eneas,geneasg@forbes.com,Male,232.235.101.231,jcb,Grocery,Movies,Portugal,Ardazubre,714-241-6635,geneasg
Heidi,Upston,hupstonh@dyndns.org,Female,63.234.43.13,mastercard,Grocery,Home,China,Wenshui,363-466-9641,hupstonh
Ringo,Miebes,rmiebesi@github.com,Male,35.31.63.88,visa-electron,Movies,Automotive,Indonesia,Wakapuken,300-370-5633,rmiebesi
Townie,Aim,taimj@blogspot.com,Male,99.182.154.85,maestro,Toys,Jewelery,Nepal,Besisahar,923-789-7326,taimj
Miguelita,Bewicke,mbewickek@weather.com,Female,239.118.85.254,maestro,Tools,Industrial,Palestinian Territory,Turmus‘ayyā,655-370-6811,mbewickek
Rutger,Gaylor,rgaylorl@ifeng.com,Male,107.172.103.199,maestro,Health,Movies,Switzerland,Basel,662-799-2661,rgaylorl
Rosalynd,Yeo,ryeom@godaddy.com,Female,57.81.54.24,laser,Electronics,Movies,Brazil,José de Freitas,809-210-7249,ryeom
Gae,McCardle,gmccardlen@cafepress.com,Female,12.221.7.234,jcb,Movies,Tools,China,Chenjiahe,619-859-7840,gmccardlen
Nathan,Anthoine,nanthoineo@homestead.com,Male,175.148.147.74,diners-club-carte-blanche,Music,Grocery,Canada,White Rock,930-766-0220,nanthoineo
Bonni,Cahalan,bcahalanp@fotki.com,Female,141.119.140.39,jcb,Games,Garden,Philippines,Plaridel,533-185-4390,bcahalanp
Reba,Jenno,rjennoq@is.gd,Female,173.25.89.234,jcb,Books,Music,Jordan,Ar Ramthā,149-385-2648,rjennoq
Orella,Ferschke,oferschker@wufoo.com,Female,153.251.55.142,jcb,Health,Beauty,China,Danxi,148-623-2314,oferschker
Pam,Madrell,pmadrells@marriott.com,Female,65.23.235.34,china-unionpay,Tools,Jewelery,China,Gaoyan,553-904-6780,pmadrells
Tulley,Hilling,thillingt@over-blog.com,Male,228.243.102.50,jcb,Sports,Movies,Thailand,Chum Phae,383-855-3100,thillingt
Gaspard,Clover,gcloveru@blogs.com,Male,225.43.124.145,jcb,Clothing,Health,China,Chengjiang,291-325-6019,gcloveru
Shelley,Horning,shorningv@so-net.ne.jp,Male,148.59.114.211,visa-electron,Electronics,Home,Russia,Kurkino,592-850-7516,shorningv
Abigael,Kill,akillw@exblog.jp,Female,207.92.133.241,instapayment,Baby,Electronics,China,Nanyang,394-879-3025,akillw
Laurella,Jeanesson,ljeanessonx@xrea.com,Female,114.171.94.157,jcb,Jewelery,Clothing,Thailand,Ban Mai,369-940-7195,ljeanessonx
Mike,Windybank,mwindybanky@g.co,Male,51.79.74.248,switch,Health,Outdoors,Brazil,Itacoatiara,579-979-2340,mwindybanky
Augustus,Flinders,aflindersz@google.de,Male,60.135.30.72,switch,Automotive,Books,Vietnam,Hoàn Kiếm,934-527-2400,aflindersz
Yard,Speake,yspeake10@blogtalkradio.com,Male,49.113.36.234,jcb,Industrial,Music,Mexico,El Salitre,219-877-3628,yspeake10
Minny,Arnell,marnell11@intel.com,Female,246.199.167.45,jcb,Books,Jewelery,Brazil,Barra dos Coqueiros,466-769-0131,marnell11
Casi,Oppery,coppery12@123-reg.co.uk,Female,14.63.177.141,jcb,Beauty,Music,Portugal,Carvalhal,360-990-6591,coppery12
Lucretia,Duchart,lduchart13@nasa.gov,Female,236.85.92.118,china-unionpay,Movies,Jewelery,Thailand,Klaeng,812-827-3162,lduchart13
Ernie,Bonett,ebonett14@loc.gov,Male,79.244.241.210,americanexpress,Grocery,Tools,Indonesia,Bendo,387-600-6597,ebonett14
Mikaela,Muzzillo,mmuzzillo15@meetup.com,Female,61.142.247.241,visa-electron,Automotive,Health,United States,Lexington,859-425-0318,mmuzzillo15
Benjamin,Cousans,bcousans16@mapquest.com,Male,76.131.125.161,jcb,Tools,Garden,Philippines,Minanga Norte,448-506-6243,bcousans16
Jyoti,Griffen,jgriffen17@csmonitor.com,Female,26.245.240.217,mastercard,Movies,Grocery,China,Yuhuazhai,800-182-5139,jgriffen17
Virginia,Manntschke,vmanntschke18@bbb.org,Female,128.241.235.20,instapayment,Sports,Music,China,Tungdor,899-643-9705,vmanntschke18
Jackie,Nimmo,jnimmo19@cbslocal.com,Male,140.17.89.139,jcb,Computers,Home,Russia,Sennoy,382-884-7536,jnimmo19
Zollie,Scrauniage,zscrauniage1a@webmd.com,Male,121.18.1.151,diners-club-international,Automotive,Industrial,China,Yengimahalla,494-784-0622,zscrauniage1a
Doro,Sommerton,dsommerton1b@bbc.co.uk,Female,3.21.226.177,americanexpress,Home,Health,Chile,Curanilahue,877-892-6596,dsommerton1b
Tony,Cadalleder,tcadalleder1c@skype.com,Female,63.122.94.139,diners-club-enroute,Garden,Electronics,China,Xinjie,525-765-9321,tcadalleder1c
Ebonee,Du Hamel,eduhamel1d@pbs.org,Female,104.68.128.15,jcb,Outdoors,Health,China,Xuezhen,798-800-7183,eduhamel1d
Jody,Ubanks,jubanks1e@hexun.com,Female,75.19.250.40,maestro,Games,Toys,China,Wuci,582-497-8864,jubanks1e
Cherrita,Claus,cclaus1f@about.me,Female,43.154.79.119,solo,Toys,Jewelery,Canada,Trois-Rivières,333-473-8822,cclaus1f
