first_name,last_name,email,gender,ip_address,Credit_Card_Type,item_watched,item_bought,country,city,phone,facebook_username
Blondy,Kempe,bkempe0@fema.gov,Female,224.52.225.46,maestro,Games,Baby,Thailand,Wat Bot,969-952-2448,bkempe0
Rosmunda,Eslinger,reslinger1@usa.gov,Female,240.229.157.72,diners-club-international,Health,Sports,Brazil,Santa Cruz,867-846-7258,reslinger1
Xylina,Rolfs,xrolfs2@goo.ne.jp,Female,220.39.72.76,visa-electron,Shoes,Automotive,China,Tonghu,491-800-8467,xrolfs2
Joan,Risbrough,jrisbrough3@paginegialle.it,Female,191.186.174.116,maestro,Grocery,Kids,Vietnam,Prao,926-151-5575,jrisbrough3
Humfried,Pennington,hpennington4@globo.com,Male,79.153.31.241,jcb,Jewelery,Garden,Thailand,Lao Suea Kok,438-646-3851,hpennington4
Bridget,Lipyeat,blipyeat5@parallels.com,Female,12.242.242.94,jcb,Computers,Clothing,China,Tianchi,285-473-4757,blipyeat5
Rudolfo,Steptoe,rsteptoe6@archive.org,Male,100.248.174.130,mastercard,Baby,Games,Philippines,Naghalin,297-582-4125,rsteptoe6
Lorinda,Agastina,lagastina7@virginia.edu,Female,251.39.35.172,mastercard,Movies,Grocery,Netherlands,Leiden,125-536-4484,lagastina7
Barton,Cavnor,bcavnor8@oakley.com,Male,71.119.43.40,jcb,Grocery,Movies,Russia,Terek,516-293-1766,bcavnor8
Anabella,Blenkin,ablenkin9@twitter.com,Female,224.105.99.202,switch,Shoes,Movies,China,Tianyuan,402-754-8707,ablenkin9
Cammy,Cleeton,ccleetona@wix.com,Male,159.216.196.226,solo,Automotive,Sports,Slovenia,Legen,406-145-6066,ccleetona
Pepillo,Jordison,pjordisonb@google.co.jp,Male,87.30.66.222,mastercard,Games,Baby,China,Nanping,497-753-7618,pjordisonb
Alfred,Truluck,atruluckc@cocolog-nifty.com,Male,220.144.100.27,laser,Computers,Industrial,United States,Houston,281-537-2916,atruluckc
Mario,Mansion,mmansiond@nydailynews.com,Male,43.186.220.166,mastercard,Electronics,Baby,Vietnam,Prao,802-901-0026,mmansiond
Morganica,Jobbins,mjobbinse@skyrock.com,Female,54.200.76.9,diners-club-enroute,Computers,Tools,Argentina,Huinca Renancó,383-434-2918,mjobbinse
Adele,Banbury,abanburyf@cbslocal.com,Female,188.172.125.195,china-unionpay,Garden,Industrial,Brazil,Araucária,266-646-3599,abanburyf
Yule,Newburn,ynewburng@senate.gov,Male,60.120.58.51,jcb,Books,Games,China,Jiangkou,239-908-3384,ynewburng
Torrie,Pillans,tpillansh@tinypic.com,Female,89.248.96.201,jcb,Sports,Music,Indonesia,Lido,495-888-9096,tpillansh
Gordie,Olfert,golferti@apache.org,Male,221.8.197.7,jcb,Kids,Sports,China,Dushu,666-885-7112,golferti
Hillard,Pointing,hpointingj@alexa.com,Male,77.46.41.222,diners-club-enroute,Shoes,Grocery,Philippines,Pau,338-287-1285,hpointingj
Flinn,Torrent,ftorrentk@ucoz.com,Male,26.109.173.176,maestro,Kids,Grocery,China,Wutongkou,116-619-4676,ftorrentk
Rick,Romeuf,rromeufl@newsvine.com,Male,141.164.84.136,visa-electron,Computers,Jewelery,Philippines,Quezon City,901-993-5308,rromeufl
