first_name,last_name,email,gender,ip_address,Credit_Card_Type,item_watched,item_bought,country,city,phone,facebook_username
Leo,Sawl,lsawl0@jiathis.com,Male,175.139.212.229,visa,Books,Computers,Portugal,São Pedro de Muel,236-827-1670,lsawl0
Rennie,McComas,rmccomas1@squarespace.com,Female,77.138.232.105,jcb,Sports,Tools,China,Huangjiabu,945-549-6073,rmccomas1
Baird,Spain-Gower,bspaingower2@princeton.edu,Male,94.192.67.65,bankcard,Automotive,Toys,Indonesia,Rembes,582-930-7752,bspaingower2
Daloris,Davidi,ddavidi3@microsoft.com,Female,36.147.113.88,switch,Clothing,Baby,Azerbaijan,Hacıqabul,409-580-9440,ddavidi3
Ramon,Threlkeld,rthrelkeld4@toplist.cz,Male,146.40.203.69,jcb,Tools,Beauty,France,Nantes,598-192-1354,rthrelkeld4
Arleen,Scrivinor,ascrivinor5@hc360.com,Female,251.97.232.159,china-unionpay,Tools,Toys,Ukraine,Yizhivtsi,871-983-3866,ascrivinor5
Beau,Kalkofen,bkalkofen6@xing.com,Male,80.56.5.174,diners-club-enroute,Toys,Beauty,Portugal,Penhascoso,860-343-1761,bkalkofen6
Basil,Frosdick,bfrosdick7@wisc.edu,Male,147.248.142.140,bankcard,Music,Garden,Russia,Lechinkay,243-341-7474,bfrosdick7
Maxine,Giacobilio,mgiacobilio8@devhub.com,Female,9.79.130.43,jcb,Industrial,Jewelery,Armenia,Tsaghkaber,270-896-0398,mgiacobilio8
Englebert,Hartright,ehartright9@yellowpages.com,Male,199.197.216.112,jcb,Baby,Industrial,Czech Republic,Bělá pod Bezdězem,705-857-4836,ehartright9
Rubie,Mantrip,rmantripa@delicious.com,Female,125.96.246.181,instapayment,Beauty,Tools,France,Roissy Charles-de-Gaulle,233-177-5768,rmantripa
Stefania,Westrey,swestreyb@twitpic.com,Female,149.145.22.137,maestro,Electronics,Outdoors,Indonesia,Sedinginan,813-396-0539,swestreyb
Yorgos,Carrack,ycarrackc@salon.com,Male,189.161.209.78,jcb,Garden,Computers,Czech Republic,Kašperské Hory,908-165-3841,ycarrackc
Ogdan,Shaefer,oshaeferd@oakley.com,Male,29.55.250.114,laser,Clothing,Tools,Philippines,Peñarrubia,696-849-1367,oshaeferd
Avictor,Jaquest,ajaqueste@usgs.gov,Male,145.154.15.163,visa,Books,Toys,Russia,Sviblovo,493-589-6226,ajaqueste
Calida,Forsdicke,cforsdickef@google.com.hk,Female,230.34.195.65,maestro,Kids,Computers,Palestinian Territory,Qaryūt,558-336-7939,cforsdickef
Jacklin,Yaldren,jyaldreng@lycos.com,Female,8.207.100.238,jcb,Sports,Home,Japan,Ōme,881-349-5616,jyaldreng
Bear,Wholesworth,bwholesworthh@stumbleupon.com,Male,33.247.164.202,jcb,Clothing,Toys,Syria,Tadmur,876-943-1942,bwholesworthh
Eddi,Snoxall,esnoxalli@cornell.edu,Female,91.103.203.203,visa-electron,Home,Kids,Mongolia,Зуунмод,840-783-3813,esnoxalli
Manfred,Janus,mjanusj@google.co.uk,Male,187.180.239.193,jcb,Books,Movies,France,Arras,868-470-1593,mjanusj
Kelli,Cowdrey,kcowdreyk@time.com,Female,225.232.178.129,bankcard,Kids,Sports,Iran,Marvdasht,784-612-2440,kcowdreyk
Jewelle,Mayger,jmaygerl@bloglines.com,Female,89.205.93.51,maestro,Sports,Books,Germany,Halle,560-251-1649,jmaygerl
Merline,Allred,mallredm@about.me,Female,165.202.32.142,mastercard,Clothing,Baby,Philippines,Jandayan,339-555-5067,mallredm
Vania,Capstack,vcapstackn@noaa.gov,Female,184.24.142.80,jcb,Health,Baby,China,Tewulike,814-716-0174,vcapstackn
Fabian,Hymans,fhymanso@sciencedaily.com,Male,145.61.139.130,visa-electron,Jewelery,Tools,China,Shuangcheng,894-838-4935,fhymanso
Ulberto,Kolak,ukolakp@tinypic.com,Male,229.168.87.153,jcb,Grocery,Beauty,Germany,Reutlingen,149-992-4266,ukolakp
Allis,Boston,abostonq@ning.com,Female,255.213.42.50,diners-club-carte-blanche,Beauty,Computers,Russia,Pregradnaya,648-423-0694,abostonq
Tish,Malzard,tmalzardr@ucla.edu,Female,224.123.57.107,jcb,Electronics,Kids,Indonesia,Tanarara,473-781-9660,tmalzardr
Mia,Ferrillio,mferrillios@walmart.com,Female,207.92.6.35,jcb,Movies,Home,United States,Rochester,585-363-9786,mferrillios
Ilyssa,Longworth,ilongwortht@creativecommons.org,Female,91.213.116.97,americanexpress,Games,Garden,Georgia,Gulrip’shi,944-731-0596,ilongwortht
Tamiko,Burne,tburneu@goo.gl,Female,110.88.160.227,jcb,Industrial,Garden,Indonesia,Boneng,780-861-0345,tburneu
Garvin,Pendry,gpendryv@uiuc.edu,Male,16.63.158.29,jcb,Clothing,Computers,United States,Wichita,316-165-8790,gpendryv
Madelena,Rechert,mrechertw@issuu.com,Female,219.11.167.5,jcb,Beauty,Industrial,Cuba,Pedro Betancourt,893-883-9135,mrechertw
Darrelle,Keyson,dkeysonx@omniture.com,Female,72.148.252.1,jcb,Health,Sports,Indonesia,Rengasdengklok,385-700-4025,dkeysonx
Moses,Kneath,mkneathy@intel.com,Male,102.70.248.97,jcb,Movies,Shoes,Canada,Laval,560-955-3071,mkneathy
Evelina,Willshere,ewillsherez@yahoo.com,Female,94.168.183.44,jcb,Home,Automotive,Uruguay,Juan L. Lacaze,238-811-3824,ewillsherez
Thom,Kite,tkite10@cbc.ca,Male,196.121.152.216,solo,Garden,Outdoors,Colombia,La Esperanza,881-899-6177,tkite10
Candis,Frazer,cfrazer11@tamu.edu,Female,96.40.228.135,diners-club-us-ca,Computers,Computers,Cyprus,Erími,171-275-4489,cfrazer11
Westbrooke,Paolotto,wpaolotto12@merriam-webster.com,Male,170.186.201.243,jcb,Sports,Garden,Thailand,Chaiyaphum,742-290-9413,wpaolotto12
Eldin,Caddies,ecaddies13@sphinn.com,Male,12.162.209.248,diners-club-international,Beauty,Clothing,China,Baihe,280-939-4278,ecaddies13
Danila,Butterfield,dbutterfield14@google.co.uk,Female,32.31.68.66,jcb,Toys,Grocery,China,Wangmang,120-917-6192,dbutterfield14
Allyn,Ide,aide15@smugmug.com,Female,63.187.248.86,jcb,Health,Clothing,China,Caohe,330-866-0489,aide15
Calley,Ortells,cortells16@wisc.edu,Female,84.98.248.153,mastercard,Electronics,Toys,Oman,Nizwá,943-589-3510,cortells16
Kyle,Stanlick,kstanlick17@webmd.com,Male,22.223.9.182,switch,Computers,Baby,Gambia,Sutukung,993-995-7859,kstanlick17
Vanya,Bonifant,vbonifant18@un.org,Female,64.0.82.93,diners-club-enroute,Sports,Shoes,Cuba,Maisí,975-498-9023,vbonifant18
Marci,Keller,mkeller19@4shared.com,Female,147.249.40.180,jcb,Grocery,Toys,Paraguay,San Pedro del Paraná,106-558-9363,mkeller19
Gris,Coley,gcoley1a@wordpress.org,Male,88.192.34.14,bankcard,Baby,Baby,Russia,Syrskoye,170-779-4177,gcoley1a
Thatch,Phelan,tphelan1b@umn.edu,Male,9.249.90.171,switch,Sports,Outdoors,Poland,Nowosielce-Gniewosz,598-886-1719,tphelan1b
Bing,Blake,bblake1c@redcross.org,Male,62.109.171.46,mastercard,Grocery,Automotive,Guatemala,Soloma,288-728-7650,bblake1c
Noelle,Kohen,nkohen1d@ihg.com,Female,241.61.16.44,maestro,Movies,Grocery,Greece,Pélla,471-826-0581,nkohen1d
